id,title,url,type,trustLabel,board,topic,difficulty,learningStyle,whyHelpful,focusArea,estimatedTime,safetySensitive,bestFor,pathTags
gen-001,SparkFun: Where Do I Start?,https://learn.sparkfun.com/tutorials/where-do-i-start/all,written guide,Curated,General Electronics,getting started,beginner,written,Gives beginners a broad starting point for electronics topics before choosing a board.,How to start learning electronics without getting overwhelmed.,20-30 min,False,general electronics; absolute beginner; not sure yet,optimal; deep-learning; lowest-cost
gen-002,SparkFun: How to Use a Breadboard,https://learn.sparkfun.com/tutorials/how-to-use-a-breadboard/all,written guide,Curated,General Electronics,breadboard,beginner,written,"Teaches how breadboard rows and rails connect, which is essential before wiring sensors or LEDs.","Breadboard rows, power rails, jumpers, simple circuits.",25-40 min,False,robotics; IoT; home automation; security sensor,optimal; deep-learning; lowest-cost
gen-003,"SparkFun: Voltage, Current, Resistance, and Ohm's Law",https://learn.sparkfun.com/tutorials/voltage-current-resistance-and-ohms-law/all,written guide,Curated,General Electronics,voltage current resistance,beginner,written,"Explains the basic electricity concepts that prevent damaged LEDs, sensors, and boards.","Voltage, current, resistance, Ohm's Law, why resistors matter.",35-50 min,True,safety; robotics; IoT; general electronics,deep-learning; optimal
gen-004,SparkFun: Polarity,https://learn.sparkfun.com/tutorials/polarity/all,written guide,Curated,General Electronics,polarity,beginner,written,"Shows which parts have a correct direction, helping beginners avoid reversed LEDs, batteries, and sensors.","Positive/negative leads, polarized components, safe wiring direction.",25-40 min,True,safety; LED; sensors; battery projects,optimal; deep-learning
gen-005,SparkFun: What Is a Circuit?,https://sparkfuneducation.com/concept-library/what-circuit.html,written guide,Curated,General Electronics,circuit basics,beginner,written,"Introduces open circuits, closed circuits, and short circuits in beginner language.","Circuit path, load, short circuit, troubleshooting basics.",15-25 min,True,absolute beginner; electronics basics; safety,deep-learning; lowest-cost
gen-006,SparkFun: How to Use a Multimeter,https://learn.sparkfun.com/tutorials/how-to-use-a-multimeter/all,written guide,Curated,General Electronics,multimeter,beginner-plus,written,"Teaches voltage and continuity checks, useful before powering a circuit.","Measuring voltage, resistance, continuity, safe testing.",35-60 min,True,safety; debugging; mentor review,deep-learning; optimal
gen-007,Adafruit Arduino Lesson 2: LEDs,https://learn.adafruit.com/adafruit-arduino-lesson-2-leds/overview,written guide,Curated,Arduino,LED resistor,beginner,written,A beginner-friendly LED lesson that explains resistors and simple output circuits.,"LED polarity, resistor selection, simple Arduino output.",30-45 min,False,Arduino; LED; first circuit,optimal; fastest; lowest-cost
gen-008,Adafruit Arduino Lesson 2: Resistors,https://learn.adafruit.com/adafruit-arduino-lesson-2-leds/resistors,written guide,Curated,Arduino,resistors,beginner,written,Explains resistor values and why LEDs should not be connected without current limiting.,"Resistor color codes, LED protection, current limiting.",20-30 min,True,LED; safety; general electronics,deep-learning; optimal; lowest-cost
gen-009,Khan Academy: Ohm's Law Video,https://www.khanacademy.org/science/ap-physics-2/x0e2f5a2c%3Aelectric-circuits/x0e2f5a2c%3Acurrent-resistivity-ohms-law/v/circuits-part-1,video,Curated,General Electronics,Ohm's Law,beginner,video,"Provides a clear video explanation of voltage, current, and resistance.","How voltage, current, and resistance relate.",15-25 min,False,video learners; electronics theory,deep-learning
ard-001,Arduino Docs: Getting Started with Arduino,https://docs.arduino.cc/learn/starting-guide/getting-started-arduino/,official docs,Official,Arduino,Arduino beginner basics,beginner,written,"Official Arduino overview for boards, tools, and first steps.","Arduino ecosystem, boards, IDE, first project flow.",30-45 min,False,Arduino; robotics beginner; general electronics,optimal; deep-learning
ard-002,Arduino Docs: Language Reference,https://docs.arduino.cc/language-reference/,official docs,Official,Arduino,Arduino programming,beginner-plus,written,"Useful for looking up Arduino functions like pinMode, digitalWrite, analogRead, and delay.",Arduino C/C++ syntax and common functions.,Reference,False,Arduino; coding; debugging,deep-learning; optimal
ard-003,Arduino Built-In Example: Blink,https://docs.arduino.cc/built-in-examples/basics/Blink/,official docs,Official,Arduino,LED blink,beginner,hands-on,"Official first output project for learning board upload, pins, and timing.","Upload code, blink LED, timing basics.",15-30 min,False,Arduino; first project; lowest cost,fastest; lowest-cost; optimal
ard-004,Arduino Built-In Example: Digital Read Serial,https://docs.arduino.cc/built-in-examples/basics/DigitalReadSerial/,official docs,Official,Arduino,button input digitalRead,beginner,hands-on,"Teaches how to read a button/switch input, which is needed for sensors and controls.","digitalRead, serial monitor, basic input.",20-35 min,False,Arduino; sensors; robotics,optimal; deep-learning
ard-005,Arduino Built-In Example: Analog Read Serial,https://docs.arduino.cc/built-in-examples/basics/AnalogReadSerial/,official docs,Official,Arduino,analog input,beginner,hands-on,"Teaches analog sensor readings used for light, soil moisture, and potentiometers.","analogRead, sensor values, serial monitor.",20-35 min,False,sensors; smart plant monitor; Arduino,optimal; deep-learning
